mlb;sku;gtin;title;date_created;ultima_venda;status;parent_item_id;tipo;envio;stock_total;stock_source;stock_variations_count;sales_units;sold_value_cents;variation_id;variation_name
MLB1225821639;37569;;Poltrona Decorativa Giratória Gran Elisa Suede;2019-05-07;;active;;Premium;Por conta do comprador;0;variation;1;;;47442304839;Cor: Azul royal
MLB1225821639;37569;;Poltrona Decorativa Giratória Gran Elisa Suede;2019-05-07;;active;;Premium;Por conta do comprador;1000;variation;1;;;47442304842;Cor: Verde
MLB1794005883;43696;;Mesa Lateral Apoio Sofá Tampo Branco Base Metálica;2021-02-11;;active;;Premium;Por conta do comprador;13;variation;1;;;76038178419;Cor: Bronze
MLB1794005883;43696;;Mesa Lateral Apoio Sofá Tampo Branco Base Metálica;2021-02-11;;active;;Premium;Por conta do comprador;413;variation;1;;;76038178427;Cor: Dourado
MLB1794005883;43696;;Mesa Lateral Apoio Sofá Tampo Branco Base Metálica;2021-02-11;;active;;Premium;Por conta do comprador;85;variation;1;;;76038178435;Cor: Preto
MLB1896853200;53696;7908103732794;Enfeite Decorativo  Pássaro  Em Poliresina Preto 34x7 Cm Preto;2021-05-26;;active;;Premium;Frete gratis;7;item;0;;;;
MLB1725357783;43694;;Mesa Lateral Tampo Preto Multi-uso Para Sofá Base Metálica;2020-11-23;;active;;Premium;Frete gratis;400;variation;1;;;69055179972;Cor: Bronze
MLB1725357783;43694;;Mesa Lateral Tampo Preto Multi-uso Para Sofá Base Metálica;2020-11-23;;active;;Premium;Frete gratis;400;variation;1;;;69055179984;Cor: Dourado
MLB1725357783;43694;;Mesa Lateral Tampo Preto Multi-uso Para Sofá Base Metálica;2020-11-23;;active;;Premium;Frete gratis;400;variation;1;;;69055179995;Cor: Preto
MLB1827061277;49506;7908439260268;Poltrona Marisa Suede Caramelo Sisal Pés Palito Natural Bege Liso;2021-03-18;;active;;Classico;Por conta do comprador;1000;item;0;;;;
MLB1769353443;2844;7890000171847;Cadeira Jantar Para Mesa Liz Suede Bege Pés Palito Castanho Castanho Bege;2021-01-18;;active;;Premium;Frete gratis;306;item;0;;;;
MLB1786244965;46026;7908439242219;Poltrona Opala Corino Bege Pés Palito Castanho D'rossi Bege;2021-02-03;;active;;Premium;Por conta do comprador;318;item;0;;;;
MLB1752040369;45180;7899949703294;Porta Chaves Com Lousa Tábua De Carne Decorativa D'rossi Multicolorido;2020-12-29;;active;;Premium;Por conta do comprador;3;item;0;;;;
MLB1826695293;48534;7908439259651;Poltrona Stella Linho Cinza Claro A05 Pés Palito Castanho Branco Liso;2021-03-18;;active;;Premium;Por conta do comprador;318;item;0;;;;
MLB1892149184;51516;7908439290098;Poltrona Stella Estampado Retrô Rosa D61 Pés Palito Castanho;2021-05-21;;active;;Classico;Por conta do comprador;1000;item;0;;;;
MLB1794012766;43694;;Mesa Lateral Apoio Sofá Tampo Preto Multiuso Base Metálica;2021-02-11;;active;;Premium;Por conta do comprador;400;variation;1;;;76038138873;Cor: Bronze
MLB1794012766;43694;;Mesa Lateral Apoio Sofá Tampo Preto Multiuso Base Metálica;2021-02-11;;active;;Premium;Por conta do comprador;400;variation;1;;;76038138875;Cor: Dourado
MLB1794012766;43694;;Mesa Lateral Apoio Sofá Tampo Preto Multiuso Base Metálica;2021-02-11;;active;;Premium;Por conta do comprador;400;variation;1;;;76038138877;Cor: Preto
MLB1861088938;51698;7908439291736;02 Poltronas Giratória Stella Linho Cinza A05 Base Madeira Branco Liso;2021-04-20;;active;;Premium;Por conta do comprador;499;item;0;;;;
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;66;variation;1;;;82226128123;Cor: Bege
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;66;variation;1;;;82226128129;Cor: Azul-marinho
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;0;variation;1;;;82226128138;Cor: Azul-turquesa
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;66;variation;1;;;82226128163;Cor: Cinza
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;66;variation;1;;;82226128157;Cor: Grafite
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;66;variation;1;;;82226128145;Cor: Marrom
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;66;variation;1;;;82226128180;Cor: Marrom rato
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;66;variation;1;;;82226128151;Cor: Preto
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;66;variation;1;;;82226128222;Cor: Rosa bebê
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;1;variation;1;;;82226128204;Cor: Rose
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;66;variation;1;;;82226128262;Cor: Verde
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;0;variation;1;;;82226128243;Cor: Caramelo sisal
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;0;variation;1;;;82226128118;Cor: Verde Turquesa
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;0;variation;1;;;82226128113;Cor: Amarelo
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;0;variation;1;;;82226128171;Cor: Laranja
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;0;variation;1;;;82226128187;Cor: Pink
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;0;variation;1;;;82226128192;Cor: Roxo
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;0;variation;1;;;82226128197;Cor: Vermelho
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;0;variation;1;;;82226128212;Cor: Vinho
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;0;variation;1;;;82226128231;Cor: Azul Pavão
MLB1859802903;51920;;Kit 01 Namoradeira E 02 Poltronas Marisa Suede Pés Palito;2021-04-19;;active;;Premium;Por conta do comprador;0;variation;1;;;82226128253;Cor: Azul royal
MLB1883693537;51516;7908439290098;Poltrona Stella Estampado Retrô Rosa D61 Pés Palito Castanho Estampado;2021-05-13;;active;;Premium;Por conta do comprador;1000;item;0;;;;
MLB1830701831;38853;7908274436842;Kit 02 Poltronas Stella Corano Marrom Com Linho Preto;2021-03-22;;active;;Premium;Por conta do comprador;500;item;0;;;;
MLB1794009323;43714;;Kit 2 Mesas Lateral Branca Multi-uso Para Sofá Base Metálica;2021-02-11;;active;;Premium;Por conta do comprador;1;variation;1;;;76038157275;Cor: Bronze
MLB1794009323;43714;;Kit 2 Mesas Lateral Branca Multi-uso Para Sofá Base Metálica;2021-02-11;;active;;Premium;Por conta do comprador;14;variation;1;;;76038157283;Cor: Dourado
MLB1794009323;43714;;Kit 2 Mesas Lateral Branca Multi-uso Para Sofá Base Metálica;2021-02-11;;active;;Premium;Por conta do comprador;16;variation;1;;;76038157292;Cor: Preto
MLB1738094804;44488;7908103730097;Escultura De Esfera Decorativa Preta Em Metal 13cm D'rossi Preto;2020-12-10;;active;;Premium;Frete gratis;2;item;0;;;;
MLB1876586664;52966;7908477201551;Poltrona Shell Corano Nozes Sala Quarto - D'rossi Marrom;2021-05-06;;active;;Premium;Por conta do comprador;1000;item;0;;;;
MLB1859822589;51274;7908439289450;Kit 02 Poltronas Giratória Stella Linho Preto A79 D'rossi Preto Liso;2021-04-19;;active;;Premium;Por conta do comprador;499;item;0;;;;
MLB1725189580;43145;7908274499946;Conjunto 02 Banquetas Lavínia Sued Rose Base Preto Rose;2020-11-23;;active;;Classico;Por conta do comprador;1000;item;0;;;;
MLB1861091488;51702;7908439291750;02 Poltronas Giratória Stella Linho Bege A19 Base Madeira Bege Liso;2021-04-20;;active;;Premium;Por conta do comprador;498;item;0;;;;
MLB1636437250;22627;7908670854356;Kit 04 Pés Palito De Madeira Castanho 30 Cm - D'rossi Castanho;2020-08-24;;active;;Premium;Por conta do comprador;296;item;0;;;;
MLB1653283933;41003;;Poltrona Elisa Couro Linha Premium Base Metálica Dourado;2020-09-10;;active;;Premium;Por conta do comprador;1006;variation;1;;;63751380024;Cor: Nozes
MLB1653283933;41003;;Poltrona Elisa Couro Linha Premium Base Metálica Dourado;2020-09-10;;active;;Premium;Por conta do comprador;1009;variation;1;;;63751380028;Cor: Preto
MLB1653283933;41003;;Poltrona Elisa Couro Linha Premium Base Metálica Dourado;2020-09-10;;active;;Premium;Por conta do comprador;1000;variation;1;;;63751380037;Cor: Branco
MLB1388389602;38803;;Poltrona Giratória Stella Couro Nozes Com Linho;2019-12-13;;active;;Premium;Frete gratis;995;variation;1;;;53626219331;Cor: Bege | Desenho do tecido: Liso
MLB1388389602;38803;;Poltrona Giratória Stella Couro Nozes Com Linho;2019-12-13;;active;;Premium;Frete gratis;1000;variation;1;;;53626219352;Cor: Preto A79 | Desenho do tecido: Liso
MLB1388389602;38803;;Poltrona Giratória Stella Couro Nozes Com Linho;2019-12-13;;active;;Premium;Frete gratis;1000;variation;1;;;53626219329;Cor: Cinza A26 | Desenho do tecido: Liso
MLB1421556590;38493;;Kit 02 Poltrona Decorativa Anitta Suede - D'rossi;2020-01-30;;active;;Premium;Por conta do comprador;125;variation;1;;;49925769114;Cor: Cinza
MLB1421556590;38493;;Kit 02 Poltrona Decorativa Anitta Suede - D'rossi;2020-01-30;;active;;Premium;Por conta do comprador;159;variation;1;;;49926973156;Cor: Azul-marinho
MLB1421556590;38493;;Kit 02 Poltrona Decorativa Anitta Suede - D'rossi;2020-01-30;;active;;Premium;Por conta do comprador;159;variation;1;;;49925769112;Cor: Bege
MLB1421556590;38493;;Kit 02 Poltrona Decorativa Anitta Suede - D'rossi;2020-01-30;;active;;Premium;Por conta do comprador;125;variation;1;;;49925769116;Cor: Grafite
MLB1421556590;38493;;Kit 02 Poltrona Decorativa Anitta Suede - D'rossi;2020-01-30;;active;;Premium;Por conta do comprador;0;variation;1;;;49925769118;Cor: Laranja
MLB1421556590;38493;;Kit 02 Poltrona Decorativa Anitta Suede - D'rossi;2020-01-30;;active;;Premium;Por conta do comprador;125;variation;1;;;49925769120;Cor: Marrom
MLB1421556590;38493;;Kit 02 Poltrona Decorativa Anitta Suede - D'rossi;2020-01-30;;active;;Premium;Por conta do comprador;125;variation;1;;;49925769122;Cor: Marrom rato
MLB1421556590;38493;;Kit 02 Poltrona Decorativa Anitta Suede - D'rossi;2020-01-30;;active;;Premium;Por conta do comprador;0;variation;1;;;49925769124;Cor: Pink
MLB1421556590;38493;;Kit 02 Poltrona Decorativa Anitta Suede - D'rossi;2020-01-30;;active;;Premium;Por conta do comprador;125;variation;1;;;49925769126;Cor: Preto
MLB1421556590;38493;;Kit 02 Poltrona Decorativa Anitta Suede - D'rossi;2020-01-30;;active;;Premium;Por conta do comprador;0;variation;1;;;49925769129;Cor: Rosa Barbie
MLB1421556590;38493;;Kit 02 Poltrona Decorativa Anitta Suede - D'rossi;2020-01-30;;active;;Premium;Por conta do comprador;0;variation;1;;;49925769133;Cor: Roxo
MLB1421556590;38493;;Kit 02 Poltrona Decorativa Anitta Suede - D'rossi;2020-01-30;;active;;Premium;Por conta do comprador;159;variation;1;;;49925769140;Cor: Rose
MLB1421556590;38493;;Kit 02 Poltrona Decorativa Anitta Suede - D'rossi;2020-01-30;;active;;Premium;Por conta do comprador;159;variation;1;;;49925769148;Cor: Rosa bebê
MLB1421556590;38493;;Kit 02 Poltrona Decorativa Anitta Suede - D'rossi;2020-01-30;;active;;Premium;Por conta do comprador;0;variation;1;;;49925769154;Cor: Azul Pavão
MLB1467858416;39105;;Poltrona Giovana Suede Pés Palito Ferro - D'rossi;2020-03-13;;active;;Premium;Por conta do comprador;291;variation;1;;;52345913069;Cor: Bege
MLB1467858416;39105;;Poltrona Giovana Suede Pés Palito Ferro - D'rossi;2020-03-13;;active;;Premium;Por conta do comprador;291;variation;1;;;93189200509;Cor: Azul-marinho
MLB1467858416;39105;;Poltrona Giovana Suede Pés Palito Ferro - D'rossi;2020-03-13;;active;;Premium;Por conta do comprador;291;variation;1;;;52345913084;Cor: Cinza
MLB1467858416;39105;;Poltrona Giovana Suede Pés Palito Ferro - D'rossi;2020-03-13;;active;;Premium;Por conta do comprador;291;variation;1;;;52345913082;Cor: Grafite
MLB1467858416;39105;;Poltrona Giovana Suede Pés Palito Ferro - D'rossi;2020-03-13;;active;;Premium;Por conta do comprador;291;variation;1;;;52345913078;Cor: Marrom
MLB1467858416;39105;;Poltrona Giovana Suede Pés Palito Ferro - D'rossi;2020-03-13;;active;;Premium;Por conta do comprador;291;variation;1;;;52345913089;Cor: Marrom rato
MLB1467858416;39105;;Poltrona Giovana Suede Pés Palito Ferro - D'rossi;2020-03-13;;active;;Premium;Por conta do comprador;291;variation;1;;;52345913076;Cor: Preto
MLB1467858416;39105;;Poltrona Giovana Suede Pés Palito Ferro - D'rossi;2020-03-13;;active;;Premium;Por conta do comprador;291;variation;1;;;52345913106;Cor: Rosa bebê
MLB1467858416;39105;;Poltrona Giovana Suede Pés Palito Ferro - D'rossi;2020-03-13;;active;;Premium;Por conta do comprador;291;variation;1;;;52345913097;Cor: Rose
MLB1467858416;39105;;Poltrona Giovana Suede Pés Palito Ferro - D'rossi;2020-03-13;;active;;Premium;Por conta do comprador;291;variation;1;;;52345913117;Cor: Verde
MLB1552912348;38301;7890000325158;Esteira Para Braço De Sofá Porta Copo Reto Azul Turquesa Azul;2020-06-09;;active;;Premium;Por conta do comprador;7;item;0;;;;
MLB1530557455;36285;7908274469512;Abridor De Garrafa Chaveiro Decorativo Vermelho 20x7cm;2020-05-21;;active;;Premium;Por conta do comprador;5;item;0;;;;
MLB1342780803;35889;7908274422678;Poltrona Shell Corino Preto Sala Quarto - D'rossi Preto;2019-10-16;;active;;Premium;Por conta do comprador;1000;item;0;;;;
MLB1725361185;43708;7908477201605;Mesa Lateral Multiuso Para Sofá Notebook  Branco - D'rossi Branco;2020-11-23;;active;;Premium;Frete gratis;413;item;0;;;;
MLB1619024197;40405;;Cabeceira Luna Cama Box Solteiro 90 Cm Corino Branco D'ross;2020-08-05;;active;;Premium;Frete gratis;1000;variation;1;;;183082083927;Cor: Creme
MLB1619024197;40405;;Cabeceira Luna Cama Box Solteiro 90 Cm Corino Branco D'ross;2020-08-05;;active;;Premium;Frete gratis;1;variation;1;;;183082083929;Cor: Branco
MLB1619024197;40405;;Cabeceira Luna Cama Box Solteiro 90 Cm Corino Branco D'ross;2020-08-05;;active;;Premium;Frete gratis;1000;variation;1;;;183082083931;Cor: Preto
MLB1367277389;32261;7908439204842;Conjunto Sofá Retrô E 02 Poltronas Elisa Suede Verde Verde;2019-11-18;;active;;Premium;Por conta do comprador;106;item;0;;;;
